TIME,GBR,KOR,GBR-KOR,KOR-GBR
2007-01,4.8694,5.04,-0.1706,0.1706
2007-02,4.896,5.01,-0.114,0.114
2007-03,4.8194,4.94,-0.1206,0.1206
2007-04,5.0439,5.07,-0.0261,0.0261
2007-05,5.1458,5.22,-0.0742,0.0742
2007-06,5.4321,5.48,-0.0479,0.0479
2007-07,5.4084,5.52,-0.1116,0.1116
2007-08,5.1499,5.42,-0.2701,0.2701
2007-09,4.9928,5.52,-0.5272,0.5272
2007-10,4.9576,5.56,-0.6024,0.6024
2007-11,4.7263,5.61,-0.8837,0.8837
2007-12,4.6937,5.82,-1.1263,1.1263
2008-01,4.4925,5.56,-1.0675,1.0675
2008-02,4.6234,5.28,-0.6566,0.6566
2008-03,4.445,5.36,-0.915,0.915
2008-04,4.6432,5.17,-0.5268,0.5268
2008-05,4.8683,5.5,-0.6317,0.6317
2008-06,5.2103,5.89,-0.6797,0.6797
2008-07,5.0494,6.03,-0.9806,0.9806
2008-08,4.7267,5.91,-1.1833,1.1833
2008-09,4.5701,5.99,-1.4199,1.4199
2008-10,4.5789,5.53,-0.9511,0.9511
2008-11,4.2571,5.73,-1.4729,1.4729
2008-12,3.6238,4.87,-1.2462,1.2462
2009-01,3.6699,4.42,-0.7501,0.7501
2009-02,3.6899,5.24,-1.5501,1.5501
2009-03,3.2497,4.97,-1.7203,1.7203
2009-04,3.4072,4.9,-1.4928,1.4928
2009-05,3.6206,5.05,-1.4294,1.4294
2009-06,3.7221,5.26,-1.5379,1.5379
2009-07,3.8238,5.18,-1.3562,1.3562
2009-08,3.7142,5.44,-1.7258,1.7258
2009-09,3.6566,5.38,-1.7234,1.7234
2009-10,3.5699,5.45,-1.8801,1.8801
2009-11,3.7592,5.39,-1.6308,1.6308
2009-12,3.8871,5.31,-1.4229,1.4229
2010-01,4.0025,5.35,-1.3475,1.3475
2010-02,4.0624,5.3,-1.2376,1.2376
2010-03,4.0915,4.92,-0.8285,0.8285
2010-04,4.1007,4.91,-0.8093,0.8093
2010-05,3.7772,4.95,-1.1728,1.1728
2010-06,3.6007,4.93,-1.3293,1.3293
2010-07,3.5087,4.91,-1.4013,1.4013
2010-08,3.233,4.68,-1.447,1.447
2010-09,3.1271,4.28,-1.1529,1.1529
2010-10,3.0685,4.11,-1.0415,1.0415
2010-11,3.311,4.48,-1.169,1.169
2010-12,3.6098,4.46,-0.8502,0.8502
2011-01,3.7273,4.69,-0.9627,0.9627
2011-02,3.8799,4.76,-0.8801,0.8801
2011-03,3.7386,4.51,-0.7714,0.7714
2011-04,3.7619,4.48,-0.7181,0.7181
2011-05,3.5053,4.34,-0.8347,0.8347
2011-06,3.4144,4.24,-0.8256,0.8256
2011-07,3.3137,4.23,-0.9163,0.9163
2011-08,2.7833,3.96,-1.1767,1.1767
2011-09,2.504,3.75,-1.246,1.246
2011-10,2.529,3.86,-1.331,1.331
2011-11,2.2917,3.8,-1.5083,1.5083
2011-12,2.1828,3.81,-1.6272,1.6272
2012-01,2.1104,3.8,-1.6896,1.6896
2012-02,2.2191,3.81,-1.5909,1.5909
2012-03,2.323,3.95,-1.627,1.627
2012-04,2.2117,3.9,-1.6883,1.6883
2012-05,1.9416,3.75,-1.8084,1.8084
2012-06,1.7698,3.63,-1.8602,1.8602
2012-07,1.6523,3.3,-1.6477,1.6477
2012-08,1.6735,3.09,-1.4165,1.4165
2012-09,1.7222,3.05,-1.3278,1.3278
2012-10,1.7721,2.97,-1.1979,1.1979
2012-11,1.7741,2.99,-1.2159,1.2159
2012-12,1.8467,3.13,-1.2833,1.2833
2013-01,2.0795,3.05,-0.9705,0.9705
2013-02,2.1781,3.04,-0.8619,0.8619
2013-03,1.9768,2.91,-0.9332,0.9332
2013-04,1.7824,2.84,-1.0576,1.0576
2013-05,1.9462,2.9,-0.9538,0.9538
2013-06,2.3063,3.31,-1.0037,1.0037
2013-07,2.471,3.47,-0.999,0.999
2013-08,2.7088,3.61,-0.9012,0.9012
2013-09,2.8443,3.53,-0.6857,0.6857
2013-10,2.6784,3.44,-0.7616,0.7616
2013-11,2.7598,3.584,-0.8242,0.8242
2013-12,2.9458,3.653,-0.7072,0.7072
2014-01,2.91,3.647,-0.737,0.737
2014-02,2.8147,3.522,-0.7073,0.7073
2014-03,2.7837,3.543,-0.7593,0.7593
2014-04,2.7417,3.54,-0.7983,0.7983
2014-05,2.6989,3.402,-0.7031,0.7031
2014-06,2.7842,3.286,-0.5018,0.5018
2014-07,2.7343,3.056,-0.3217,0.3217
2014-08,2.5347,3.086,-0.5513,0.5513
2014-09,2.4919,3.012,-0.5201,0.5201
2014-10,2.2469,2.769,-0.5221,0.5221
2014-11,2.1593,2.692,-0.5327,0.5327
2014-12,1.9287,2.681,-0.7523,0.7523
2015-01,1.589,2.415,-0.826,0.826
2015-02,1.7365,2.346,-0.6095,0.6095
2015-03,1.7941,2.276,-0.4819,0.4819
2015-04,1.755,2.177,-0.422,0.422
2015-05,2.0243,2.49,-0.4657,0.4657
2015-06,2.1696,2.468,-0.2984,0.2984
2015-07,2.1353,2.45,-0.3147,0.3147
2015-08,1.9799,2.308,-0.3281,0.3281
2015-09,1.8814,2.216,-0.3346,0.3346
2015-10,1.846,2.088,-0.242,0.242
2015-11,1.9779,2.254,-0.2761,0.2761
2015-12,1.9234,2.181,-0.2576,0.2576
2016-01,1.7833,2.025,-0.2417,0.2417
2016-02,1.5032,1.826,-0.3228,0.3228
2016-03,1.5434,1.854,-0.3106,0.3106
2016-04,1.5688,1.81,-0.2412,0.2412
2016-05,1.5366,1.787,-0.2504,0.2504
2016-06,1.3105,1.617,-0.3065,0.3065
2016-07,0.9569,1.401,-0.4441,0.4441
2016-08,0.7421,1.417,-0.6749,0.6749
2016-09,0.8243,1.512,-0.6877,0.6877
2016-10,1.078,1.596,-0.518,0.518
2016-11,1.3818,1.965,-0.5832,0.5832
